Timestamp,q1
2026-04-13 02:40:40,"{""ts"":""2026-04-13T06:40:39Z"",""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":8,""PM10_0_ATM"":9},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":6,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":2.5,""cpu_temp_c"":28.944,""load1"":0.03,""load5"":0.03,""load15"":0.18,""mem_total_mb"":416,""mem_avail_mb"":190,""mem_used_mb"":225,""uptime_s"":10042},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2},""errors"":[""dht:missing some readings - high level duration too long: 97.656µs""]}"
2026-04-13 02:40:45,"{""ts"":""2026-04-13T06:40:44Z"",""dht"":{""humidity_pct"":66.1,""temp_c"":16.6},""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":8,""PM10_0_ATM"":9},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":6,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":2.5,""cpu_temp_c"":28.944,""load1"":0.03,""load5"":0.03,""load15"":0.18,""mem_total_mb"":416,""mem_avail_mb"":190,""mem_used_mb"":225,""uptime_s"":10047},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2026-04-13 02:40:50,"{""ts"":""2026-04-13T06:40:49Z"",""dht"":{""humidity_pct"":65.8,""temp_c"":16.5},""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":7,""PM10_0_ATM"":8},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":6,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":1.3,""cpu_temp_c"":28.944,""load1"":0.11,""load5"":0.05,""load15"":0.19,""mem_total_mb"":416,""mem_avail_mb"":189,""mem_used_mb"":226,""uptime_s"":10052},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2026-04-13 02:40:55,"{""ts"":""2026-04-13T06:40:54Z"",""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":7,""PM10_0_ATM"":8},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":5,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":1.3,""cpu_temp_c"":28.944,""load1"":0.1,""load5"":0.05,""load15"":0.19,""mem_total_mb"":416,""mem_avail_mb"":189,""mem_used_mb"":226,""uptime_s"":10057},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2},""errors"":[""dht:missing some readings - low level not found""]}"
2026-04-13 02:41:00,"{""ts"":""2026-04-13T06:40:59Z"",""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":7,""PM10_0_ATM"":9},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":5,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":2.5,""cpu_temp_c"":28.944,""load1"":0.09,""load5"":0.05,""load15"":0.18,""mem_total_mb"":416,""mem_avail_mb"":189,""mem_used_mb"":226,""uptime_s"":10062},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2},""errors"":[""dht:missing some readings - low level not found""]}"
2026-04-13 02:41:05,"{""ts"":""2026-04-13T06:41:04Z"",""dht"":{""humidity_pct"":65.9,""temp_c"":16.4},""pm"":{""PM1_0_ATM"":5,""PM2_5_ATM"":7,""PM10_0_ATM"":9},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":5,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":2.5,""cpu_temp_c"":28.944,""load1"":0.08,""load5"":0.04,""load15"":0.18,""mem_total_mb"":416,""mem_avail_mb"":189,""mem_used_mb"":226,""uptime_s"":10067},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2026-04-13 02:41:10,"{""ts"":""2026-04-13T06:41:09Z"",""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":7,""PM10_0_ATM"":7},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":5,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":1.3,""cpu_temp_c"":28.944,""load1"":0.07,""load5"":0.04,""load15"":0.18,""mem_total_mb"":416,""mem_avail_mb"":189,""mem_used_mb"":226,""uptime_s"":10072},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2},""errors"":[""dht:missing some readings - low level duration too short: 3.386µs""]}"
2026-04-13 02:41:15,"{""ts"":""2026-04-13T06:41:14Z"",""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":7,""PM10_0_ATM"":7},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":5,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":28.944,""load1"":0.07,""load5"":0.04,""load15"":0.18,""mem_total_mb"":416,""mem_avail_mb"":191,""mem_used_mb"":224,""uptime_s"":10077},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2},""errors"":[""dht:missing some readings - low level duration too long: 115.833µs""]}"
2026-04-13 02:41:20,"{""ts"":""2026-04-13T06:41:19Z"",""pm"":{""PM1_0_ATM"":4,""PM2_5_ATM"":7,""PM10_0_ATM"":8},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":5,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":28.944,""load1"":0.06,""load5"":0.04,""load15"":0.18,""mem_total_mb"":416,""mem_avail_mb"":191,""mem_used_mb"":224,""uptime_s"":10082},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2},""errors"":[""dht:missing some readings - low level duration too short: 33.02µs""]}"
2026-04-13 02:41:25,"{""ts"":""2026-04-13T06:41:24Z"",""pm"":{""PM1_0_ATM"":3,""PM2_5_ATM"":7,""PM10_0_ATM"":8},""gps"":{""lat"":43.705961111111115,""lon"":-79.3979138888889,""alt_m"":0,""sats"":4,""fix_quality"":"""",""has_fix"":true},""net"":{""local_ip"":""192.168.2.50"",""public_ip"":""142.198.91.190""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":28.944,""load1"":0.06,""load5"":0.04,""load15"":0.18,""mem_total_mb"":416,""mem_avail_mb"":191,""mem_used_mb"":224,""uptime_s"":10087},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.275,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2},""errors"":[""dht:missing some readings - low level not found""]}"
