Timestamp, Payload
2025-10-28 04:29:50,"{""ts"":""2025-10-28T08:29:49Z"",""dht"":{""humidity_pct"":33.3,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":4,""Count_0_5um"":1,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.12,""load5"":0.1,""load15"":0.14,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":207,""uptime_s"":1481},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:29:54,"{""ts"":""2025-10-28T08:29:53Z"",""dht"":{""humidity_pct"":33.2,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":3,""Count_0_5um"":1,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.11,""load5"":0.1,""load15"":0.14,""mem_total_mb"":416,""mem_avail_mb"":208,""mem_used_mb"":207,""uptime_s"":1490},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:29:58,"{""ts"":""2025-10-28T08:29:57Z"",""dht"":{""humidity_pct"":33.1,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":2,""Count_0_5um"":1,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":1.3,""cpu_temp_c"":48.312,""load1"":0.1,""load5"":0.1,""load15"":0.14,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":206,""uptime_s"":1495},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:30:02,"{""ts"":""2025-10-28T08:30:01Z"",""dht"":{""humidity_pct"":33.1,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":1,""Count_0_5um"":1,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.09,""load5"":0.1,""load15"":0.14,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":206,""uptime_s"":1498},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:30:07,"{""ts"":""2025-10-28T08:30:07Z"",""dht"":{""humidity_pct"":33,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":1,""Count_0_5um"":1,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":48.312,""load1"":0.08,""load5"":0.1,""load15"":0.14,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":206,""uptime_s"":1502},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:30:12,"{""ts"":""2025-10-28T08:30:11Z"",""dht"":{""humidity_pct"":33,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":1,""Count_0_5um"":1,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.236,""load1"":0.08,""load5"":0.09,""load15"":0.14,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":206,""uptime_s"":1508},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:30:16,"{""ts"":""2025-10-28T08:30:15Z"",""dht"":{""humidity_pct"":32.9,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":0,""PM10_0_CF1"":0,""PM1_0_ATM"":0,""PM2_5_ATM"":0,""PM10_0_ATM"":0,""Count_0_3um"":2,""Count_0_5um"":2,""Count_1_0um"":0,""Count_2_5um"":0,""Count_5_0um"":0,""Count_10_0um"":0},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.07,""load5"":0.09,""load15"":0.13,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":206,""uptime_s"":1512},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:30:20,"{""ts"":""2025-10-28T08:30:19Z"",""dht"":{""humidity_pct"":32.8,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":0,""PM2_5_CF1"":21,""PM10_0_CF1"":81,""PM1_0_ATM"":0,""PM2_5_ATM"":21,""PM10_0_ATM"":65,""Count_0_3um"":259,""Count_0_5um"":258,""Count_1_0um"":243,""Count_2_5um"":164,""Count_5_0um"":88,""Count_10_0um"":28},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.07,""load5"":0.09,""load15"":0.13,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":207,""uptime_s"":1517},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:30:25,"{""ts"":""2025-10-28T08:30:24Z"",""dht"":{""humidity_pct"":32.9,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":2,""PM2_5_CF1"":68,""PM10_0_CF1"":225,""PM1_0_ATM"":2,""PM2_5_ATM"":49,""PM10_0_ATM"":149,""Count_0_3um"":751,""Count_0_5um"":748,""Count_1_0um"":703,""Count_2_5um"":471,""Count_5_0um"":225,""Count_10_0um"":70},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.06,""load5"":0.09,""load15"":0.13,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":207,""uptime_s"":1521},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
2025-10-28 04:30:39,"{""ts"":""2025-10-28T08:30:38Z"",""dht"":{""humidity_pct"":33.2,""temp_c"":26.7},""pm"":{""PM1_0_CF1"":3,""PM2_5_CF1"":136,""PM10_0_CF1"":408,""PM1_0_ATM"":3,""PM2_5_ATM"":90,""PM10_0_ATM"":271,""Count_0_3um"":1450,""Count_0_5um"":1443,""Count_1_0um"":1349,""Count_2_5um"":883,""Count_5_0um"":394,""Count_10_0um"":118},""gps"":{""lat"":0,""lon"":0,""alt_m"":0,""sats"":0,""fix_quality"":""0"",""has_fix"":false},""net"":{""local_ip"":""192.168.2.17"",""public_ip"":""74.12.197.165""},""sys"":{""cpu_pct"":0,""cpu_temp_c"":47.774,""load1"":0.14,""load5"":0.1,""load15"":0.14,""mem_total_mb"":416,""mem_avail_mb"":209,""mem_used_mb"":207,""uptime_s"":1526},""power"":{""raw_hex"":""0x0"",""undervolt_now"":false,""freq_capped_now"":false,""throttled_now"":false,""soft_temp_now"":false,""undervolt_occurred"":false,""freq_capped_occurred"":false,""throttled_occurred"":false,""soft_temp_occurred"":false,""vcore_v"":1.2563,""vsdram_c_v"":1.2,""vsdram_i_v"":1.2,""vsdram_p_v"":1.2}}"
